Date,Open,High,Low,Close,Adj Close,Volume
16-10-2020,2089.949951,2090,2055.550049,2061.199951,2013.903564,2017706
19-10-2020,2079.949951,2079.949951,2056.5,2070.100098,2022.599609,1338404
20-10-2020,2077.899902,2131.800049,2067.350098,2118.5,2069.888916,2377713
21-10-2020,2130,2143.850098,2081.25,2114.300049,2065.7854,2895432
22-10-2020,2114.199951,2116.850098,2076.800049,2099.899902,2051.715332,2755686
23-10-2020,2113.5,2129.399902,2096,2120.25,2071.598877,3070714
26-10-2020,2116.350098,2116.350098,2070.050049,2080.449951,2032.711792,1278139
27-10-2020,2085,2207.350098,2085,2197.800049,2147.369629,4964874
28-10-2020,2199.800049,2218.550049,2150.149902,2159.550049,2113.218262,3166047
29-10-2020,2162,2233.25,2161.100098,2225.449951,2177.704102,4795796
30-10-2020,2210.100098,2242.850098,2195.5,2211.5,2164.053223,3006197
02-11-2020,2198,2225.899902,2166.100098,2172.850098,2126.232666,1772571
03-11-2020,2193.899902,2193.899902,2146.75,2154.649902,2108.422852,1781465
04-11-2020,2160,2213.850098,2156,2169.449951,2122.905273,2189957
05-11-2020,2190,2245.699951,2183.649902,2238.300049,2190.27832,2671841
06-11-2020,2233.949951,2248,2202.5,2209.050049,2161.65625,2395965
09-11-2020,2249,2249,2214.149902,2225.199951,2177.459473,1691773
10-11-2020,2225.199951,2238.550049,2189,2199.75,2152.555664,1879561
11-11-2020,2205,2223,2157.300049,2181.699951,2134.892822,2387398
12-11-2020,2172,2201.75,2162,2171.800049,2125.205322,1626054
13-11-2020,2180.5,2206.550049,2172,2179.949951,2133.180176,1560060
14-11-2020,2192,2193.399902,2180.350098,2184.600098,2137.730713,146991
17-11-2020,2206.399902,2221.899902,2182,2187.649902,2140.715088,1699293
18-11-2020,2185,2210,2166.100098,2195.75,2148.641113,1817170
19-11-2020,2175,2195,2156.699951,2161.699951,2115.321777,2669522
20-11-2020,2163.350098,2190.050049,2160.550049,2166.550049,2120.067627,2196113
23-11-2020,2160.550049,2196.949951,2138.800049,2186.25,2139.345215,4002609
24-11-2020,2192.899902,2231,2191,2207.899902,2160.530518,2954306
25-11-2020,2197.25,2208.699951,2150,2154.300049,2108.080566,1682365
26-11-2020,2160,2177.449951,2117.149902,2155.300049,2109.059082,2247478
27-11-2020,2170,2244.600098,2165,2215.300049,2167.771729,10036402
01-12-2020,2275,2275,2206.199951,2230.050049,2182.205566,2235498
02-12-2020,2241,2325.949951,2236,2315.850098,2266.164551,3305952
03-12-2020,2340,2421.850098,2316.25,2411.399902,2359.664307,4334658
04-12-2020,2400,2445,2375,2438.75,2386.427734,2789953
07-12-2020,2440,2478.800049,2437,2472.550049,2419.502686,1762501
08-12-2020,2470.550049,2484.199951,2427.949951,2438.899902,2386.574219,2090950
09-12-2020,2450,2532.100098,2447,2522.300049,2468.185547,2022370
10-12-2020,2515.949951,2552,2501,2526.050049,2471.85498,2372909
11-12-2020,2516,2536.899902,2495,2520.949951,2466.864258,2171653
14-12-2020,2530,2553.899902,2521,2548.149902,2493.480469,1280339
15-12-2020,2535,2538.600098,2502.5,2527.449951,2473.224854,1283286
16-12-2020,2540,2587.899902,2537.600098,2582.449951,2527.044922,1920875
17-12-2020,2569,2603.350098,2557,2575.050049,2519.803711,1750663
18-12-2020,2577,2636,2575.550049,2601.5,2545.686279,4402604
21-12-2020,2595.449951,2602.300049,2539.100098,2554.649902,2499.841064,1383048
22-12-2020,2541,2613.600098,2496.199951,2600.800049,2545.001465,1993090
23-12-2020,2604,2650,2604,2642.550049,2585.855713,1339307
24-12-2020,2658,2658,2613,2648.25,2591.433105,1143202
28-12-2020,2654.25,2689.5,2629.550049,2683.899902,2626.318359,1226254
29-12-2020,2685,2712.449951,2673,2696.800049,2638.94165,1562853
30-12-2020,2694,2742.850098,2680.350098,2734.399902,2675.734863,1614643
31-12-2020,2734.399902,2772,2725.050049,2764.5,2705.189209,1526325
01-01-2021,2759,2792,2750,2775.550049,2716.001953,1246698
04-01-2021,2781.100098,2791.100098,2745,2753.699951,2694.620605,1360486
05-01-2021,2753.699951,2804.600098,2732,2793.850098,2733.909424,1299589
06-01-2021,2801.300049,2822.449951,2780,2805.350098,2745.162598,1697884
07-01-2021,2801,2831.850098,2781.5,2792.25,2732.34375,1142806
08-01-2021,2818,2849.800049,2789.050049,2844.699951,2783.668701,1660967
11-01-2021,2845,2873.449951,2824.600098,2849.300049,2788.169922,1517995
12-01-2021,2849.600098,2850,2712.149902,2720.550049,2662.181885,6674890
13-01-2021,2760,2763,2678,2703.699951,2645.693359,2862676
14-01-2021,2713,2736.649902,2648,2663.899902,2606.747559,2124950
15-01-2021,2660.899902,2661.850098,2580.550049,2590.899902,2535.313477,2570436
18-01-2021,2592,2619.850098,2555.399902,2588.199951,2532.671631,2395168
19-01-2021,2615,2676.600098,2590,2645.050049,2588.302002,2558693
20-01-2021,2654,2707.149902,2645.050049,2697.25,2639.381836,2065439
21-01-2021,2726.949951,2816.949951,2695,2716.350098,2658.072266,5015712
22-01-2021,2750,2768.850098,2590,2596.649902,2540.940186,4945564
25-01-2021,2612.850098,2631.5,2501,2513.949951,2460.014404,3520087
27-01-2021,2525,2525,2430.550049,2436.600098,2384.323975,2700415
28-01-2021,2420,2453.949951,2401.050049,2441.699951,2389.314697,3035457
29-01-2021,2456,2484,2400,2407.350098,2355.70166,2768673
01-02-2021,2426.600098,2467.75,2376.899902,2447.800049,2395.283936,1797359
02-02-2021,2460,2520,2425.100098,2463.649902,2410.793701,2679428
03-02-2021,2503.850098,2503.850098,2438.350098,2453.649902,2401.008057,2409356
04-02-2021,2456,2456,2398,2401.800049,2350.270508,3478562
05-02-2021,2420,2423.899902,2370.800049,2376.75,2325.757813,3303319
08-02-2021,2394,2434.899902,2373.399902,2416.850098,2364.997803,3666313
09-02-2021,2432.5,2532.449951,2423.649902,2506.850098,2453.067139,7178572
10-02-2021,2529,2555,2475,2510.600098,2456.736572,4473123
11-02-2021,2524.949951,2540,2495.100098,2505.5,2451.74585,1446286
12-02-2021,2518,2523,2464.199951,2486.100098,2432.762207,1376085
15-02-2021,2495,2517.5,2448.550049,2456.75,2404.041748,1634576
16-02-2021,2472,2475.100098,2422,2450.25,2397.680908,1615849
17-02-2021,2436,2455.050049,2382,2388.149902,2336.913574,3178784
18-02-2021,2424,2479.600098,2395.25,2470.75,2417.741455,4253843
19-02-2021,2470.899902,2470.899902,2400,2416.449951,2364.606201,2244567
22-02-2021,2428.75,2448,2380,2387.050049,2335.836914,2002642
23-02-2021,2375,2400,2315,2372.199951,2321.305664,3267268
24-02-2021,2373,2409.350098,2347.199951,2361.350098,2310.688232,1708526
25-02-2021,2375,2386.25,2336.199951,2373.75,2322.822266,2839515
26-02-2021,2338.050049,2360,2260,2277.199951,2228.34375,3933813
01-03-2021,2300,2369.899902,2300,2362.300049,2311.61792,2545806
02-03-2021,2386,2402.550049,2359,2390.399902,2339.115234,2033586
03-03-2021,2406,2417.699951,2375.800049,2402.100098,2350.564453,1591567
04-03-2021,2380,2435,2350,2417.100098,2365.242188,2149984
05-03-2021,2399,2423.899902,2377.100098,2387.100098,2335.885986,1953642
08-03-2021,2383,2413.5,2360.050049,2382.699951,2331.580078,1593838
09-03-2021,2400,2444,2396.149902,2422.699951,2370.722412,1800442
10-03-2021,2446,2446,2415.550049,2431.949951,2379.773926,1056102
12-03-2021,2442.800049,2464.649902,2397,2401.350098,2349.830566,1279203
15-03-2021,2402.550049,2427.550049,2343.050049,2355,2304.474854,1524449
16-03-2021,2379.199951,2480,2375.350098,2468.600098,2415.637451,4230564
17-03-2021,2460,2460,2411.100098,2422.949951,2370.966797,1623187
18-03-2021,2468.850098,2468.850098,2390,2404.550049,2352.961426,1851739
19-03-2021,2393,2434,2355.350098,2411.25,2359.517578,3738079
22-03-2021,2390,2438.100098,2390,2425.699951,2373.657715,1489853
23-03-2021,2430,2433.949951,2398.199951,2410.300049,2358.588623,1745466
24-03-2021,2410.300049,2470,2410,2443.550049,2391.124756,4132092
25-03-2021,2450.949951,2469,2392,2402.199951,2350.661865,2272545
26-03-2021,2425,2513.949951,2409.100098,2505.149902,2451.40332,3084607
30-03-2021,2539.100098,2583.449951,2521.5,2578.050049,2522.739258,2332884
31-03-2021,2578.050049,2582.949951,2531,2537.399902,2482.961426,1616044
01-04-2021,2532,2564.550049,2532,2551.75,2497.003418,1219588
05-04-2021,2558,2558,2484.5,2510.649902,2456.785156,1268939
06-04-2021,2526,2620,2504.5,2611.600098,2555.56958,3372846
07-04-2021,2605,2668.050049,2600.100098,2628.600098,2572.204834,1937977
